# Порядок складання набору print3d-parts. Читає make_assembly.py.
# Це знання про КОНСТРУКЦІЮ (що до чого приварюється в металі) — пишеться руками.
# Числа сюди не пишуться: назви, кількості й габарити підтягуються з parts.tsv
# і з виміряних STL. Кожен ключ із parts.tsv має бути тут рівно один раз —
# інакше make_assembly.py зупиниться.
# крок	вузол	ключ_pp	куди	як
1.1	1. Стріла	tube_boom_seg1	основа вузла	Покласти отвором Ø66 (вісь A) ліворуч; косий різ 17.5° — на правому торці
1.2	1. Стріла	tube_boom_seg2	до косого різу сегмента 1	Косий різ до косого різу — вони й дають перелом 35°; коротша верхня полиця дивиться на вільний кінець
1.3	1. Стріла	gusset	з обох боків стику труб	Щоки перекривають шов перелому; нижня кромка — урівень із нижньою полицею
1.4	1. Стріла	cover	зверху на перелом, між щоками	Уже зігнута посередині на 35°, лягає одразу на обидві верхні полиці. На неї потім стане вежа F — див. крок 1.8
1.5	1. Стріла	A_bushing	в отвір Ø66 сегмента 1	Наскрізь крізь обидві стінки; виступає з боків порівну — втулка довша за ширину труби
1.6	1. Стріла	A_doubler	на бічні стінки труби навколо втулки A	По одній накладці з кожного боку, отвором на втулку
1.7	1. Стріла	B_fork	на передній торець сегмента 2, з боків	Дві пластини; між ними потім заходить п'ята рукояті
1.8	1. Стріла	F_tower	на верхню накладку перелому	Задня кромка — ВРІВЕНЬ із задньою кромкою накладки, передня не доходить до лінії перелому на 12 мм (2.4 друкованих). Уперед не можна: там проходить корпус циліндра. Решта розмірів — розділ «Де саме стають накладні деталі»
1.9	1. Стріла	D_saddle	знизу між щоками перелому	Сідло стає врівень із виступами щік. Під нього потім стане вилка D — див. крок 1.10
1.10	1. Стріла	D_clevis	на сідло D	Відступ 20 мм (4.0 друкованих) від кожного торця сідла, отвір — рівно посередині його довжини, проміжок 30 мм. Решта розмірів — розділ «Де саме стають накладні деталі»
2.1	2. Рукоять	tube_stick	основа вузла	Задній торець — той, де отвір Ø66 за 50 мм від краю (вісь B); другий Ø66 (вісь E) — за 1000 мм
2.2	2. Рукоять	cheek	з боків труби на задньому кінці	Щоки виступають за полиці на 20 мм; саме вони несуть момент циліндра рукояті
2.3	2. Рукоять	heel_rib	між щоками, у п'яті	Ребро замикає п'яту в коробку
2.4	2. Рукоять	B_bushing	в отвір Ø66 за 50 мм від заднього торця	Наскрізь крізь трубу і ОБИДВІ щоки
2.5	2. Рукоять	H_saddle	зверху між виступами щік	Сідло під вилку циліндра ковша
2.6	2. Рукоять	H_clevis	на сідло H	Стоїть НЕСИМЕТРИЧНО: 2 мм (0.4 друкованих) від задньої кромки сідла, 12 мм (2.4) від передньої — основа тягнеться назад, бо вперед плечей немає, туди лягає корпус циліндра. Решта розмірів — розділ «Де саме стають накладні деталі»
2.7	2. Рукоять	G_boss	на щоки ззовні, вісь G	Розпірні втулки, по одній на щоку: вони задають проміжок під вушко штока
2.8	2. Рукоять	tip_plate	на передній кінець труби, з боків	Накладки під осі E і R
2.9	2. Рукоять	E_bushing	в отвір Ø66 за 1000 мм від заднього торця	Наскрізь крізь трубу і обидві накладки кінця
2.10	2. Рукоять	R_bushing	між накладками кінця, над верхньою полицею	Вісь коромисла тримається тільки накладками, труби не торкається
3.1	3. Ківш	bk_shell	основа вузла	Уже зігнута: полиця → R55 на 45° → спинка → R115 на 95° → дно; ставити порожниною догори
3.2	3. Ківш	bk_side	з боків обичайки	Боковини по всьому контуру обичайки
3.3	3. Ківш	bk_top	на обичайку і верхні кромки боковин	Накладка, на яку потім стануть вуха
3.4	3. Ківш	bk_lip_rib	під передню кромку верху	Ребро губи
3.5	3. Ківш	bk_ear	на накладку верху	Відступ 4 мм (0.8 друкованих) від кожної кромки накладки; вісь E звисає на 16 мм позаду її задньої кромки. Решта розмірів — розділ «Де саме стають накладні деталі»
3.6	3. Ківш	bk_spacer_Q	між вухами, вісь Q	Приварити до ОБОХ вух — це розпірка, а не втулка обертання
3.7	3. Ківш	bk_boss_E	зовні вух, вісь E	По одній бобишці зовні кожного вуха
3.8	3. Ківш	bk_edge	на передню кромку дна	Ніж; фаска 34° — догори
3.9	3. Ківш	bk_tooth	на ніж	Три зуби вилкою охоплюють ніж
3.10	3. Ківш	bk_wear	знизу на п'яту	Смуги зносу, уже вигнуті по радіусу п'яти
4.1	4. Важільна система	rocker_plate	основа коромисла	Дві пластини: отвір R сідає на рукоять, отвір J — до штока циліндра ковша
4.2	4. Важільна система	J_boss	зсередини пластин коромисла, вісь J	Упритул до вушка циліндра — без них палець J працює на згин
4.3	4. Важільна система	link_plate	основа тяги	Дві пластини
4.4	4. Важільна система	link_boss	зовні пластин тяги, осі J і Q	По дві бобишки на пластину, чотири на вузол
5.1	5. Колона	post_plate	схема опори	Дві плити з осями A і C. Це не готовий вузол: рами причепа в моделі ще немає
6.1	6. Гідроциліндри	cyl_boom_body	—	Гільза циліндра стріли Ø63, канал під шток глухий
6.2	6. Гідроциліндри	cyl_boom_rod	у гільзу циліндра стріли	Шток має ходити — НЕ клеїти
6.3	6. Гідроциліндри	cyl_stick_body	—	Гільза циліндра рукояті Ø50
6.4	6. Гідроциліндри	cyl_stick_rod	у гільзу циліндра рукояті	Шток має ходити — НЕ клеїти
6.5	6. Гідроциліндри	cyl_bucket_body	—	Гільза циліндра ковша Ø50
6.6	6. Гідроциліндри	cyl_bucket_rod	у гільзу циліндра ковша	Шток має ходити — НЕ клеїти
7.1	7. Складання на пальцях	pin_A	стріла на плити колони	Крізь втулку A; голівка пальця заходить першою
7.2	7. Складання на пальцях	pin_C	база циліндра стріли на плити колони	НЕ плутати з пальцем D: цей проходить крізь обидві плити колони, тож удвічі довший (Ø30×182 проти Ø30×74). За довжиною він однаковий із пальцем A
7.3	7. Складання на пальцях	pin_B	п'ята рукояті у вилку B стріли	Разом із шайбами наступного кроку
7.4	7. Складання на пальцях	washer_B	на палець B, з боків пакета рукояті	Вибирають зазор між вилкою 80 і пакетом 76 — по 2 мм на бік
7.5	7. Складання на пальцях	pin_D	шток циліндра стріли у вилку D	—
7.6	7. Складання на пальцях	pin_F	база циліндра рукояті у вежу F	—
7.7	7. Складання на пальцях	pin_G	шток циліндра рукояті у п'яту G	Між щоками, крізь розпірні втулки G
7.8	7. Складання на пальцях	pin_E	ківш на кінець рукояті	Крізь втулку E, вуха ковша і зовнішні бобишки
7.9	7. Складання на пальцях	pin_R	коромисло на накладки кінця рукояті	Крізь втулку R
7.10	7. Складання на пальцях	pin_H	база циліндра ковша у вилку H	—
7.11	7. Складання на пальцях	pin_J	шток циліндра ковша і тяги на коромислі	Найдовший палець Ø25 разом із Q
7.12	7. Складання на пальцях	pin_Q	тяга у вуха ковша	Крізь розпірку Q
