# Склад набору «компоненти під зварювання». Читають make.sh і make_bom.py.
# own «-» = компонент будується в parts.scad; інакше дістається з вузла через $sel/$one.
# вісь = яка вісь МОДЕЛІ дивиться вгору на столі (обрано обміром: найтонший розмір догори,
#        але круглі стоять на кільці, а пальці — на голівці).
# поворот = попередній поворот навколо Y моделі, ° — для деталей, нахилених у вузлі;
#        порахований із нормалі найбільшої грані, не підібраний.
# Кількості й описи взяті з echo(BOM_*) самої моделі.
# ключ_pp	вузол	вісь	поворот	файл	к-сть	група	опис
tube_boom_seg1	-	y	0	01_tube_boom_seg1	1	Профільні труби	Стріла, сегмент 1: труба 120×80×5, торець 90°, косий різ 17.5°, отвір Ø66 під втулку A
tube_boom_seg2	-	y	0	02_tube_boom_seg2	1	Профільні труби	Стріла, сегмент 2: труба 120×80×5, косий різ 17.5°, скіс торця (верхня полиця коротша на 160)
tube_stick	-	y	0	03_tube_stick	1	Профільні труби	Рукоять: труба 100×60×5, отвори Ø66 під втулки B і E, фаски переднього торця 25×25
gusset	boom	y	0	04_gusset	2	Стріла	Щока перелому стріли, лист 8 мм
cover	boom	z	160.24	05_cover	1	Стріла	Верхня накладка перелому, 8 мм — гнути посередині на 35°
D_clevis	boom	y	0	06_D_clevis	2	Стріла	Вилка D (шток циліндра стріли), лист 12 мм
D_saddle	boom	z	160.24	07_D_saddle	1	Стріла	Сідло вилки D між щоками перелому, 10 мм
F_tower	boom	y	0	08_F_tower	2	Стріла	Вежа F (база циліндра рукояті), лист 12 мм
A_doubler	boom	y	0	09_A_doubler	2	Стріла	Накладка осі A, 10 мм
B_fork	boom	y	0	10_B_fork	2	Стріла	Пластина вилки B (стріла–рукоять), лист 12 мм
cheek	stick	y	0	11_cheek	2	Рукоять	Щока п'яти рукояті, лист 8 мм
heel_rib	stick	z	166.64	12_heel_rib	1	Рукоять	Ребро п'яти між щоками, 10 мм
H_clevis	stick	y	0	13_H_clevis	2	Рукоять	Вилка H (база циліндра ковша), лист 12 мм
H_saddle	stick	z	0	14_H_saddle	1	Рукоять	Сідло вилки H між виступами щік, 10 мм
tip_plate	stick	y	0	15_tip_plate	2	Рукоять	Накладка кінця рукояті під втулки осей E і R, 10 мм
rocker_plate	rocker	y	0	16_rocker_plate	2	Важільна система	Пластина коромисла, лист 10 мм
link_plate	link	y	0	17_link_plate	2	Важільна система	Тяга ковша, лист 10 мм
bk_shell	bucket	y	0	18_bk_shell	1	Ківш	Обичайка ковша, 5 мм — розгортка 559×288, гнути полиця/R55/спинка/R115/дно
bk_side	bucket	y	0	19_bk_side	2	Ківш	Боковина ковша, лист 6 мм
bk_top	bucket	x	0	20_bk_top	1	Ківш	Накладка під вуха ковша, 8 мм
