# Єдине джерело правди про склад набору: читають і make.sh, і make_bom.py.
# ключ_pp	файл_без_розширення	к-сть	група	опис
post_plate	01_post_plate	2	Несучі вузли	Плита поворотної колони — осі A (стріла) і C (база циліндра стріли)
boom	02_boom	1	Несучі вузли	Стріла у зборі: труби, щоки перелому, вилка B, вежа F, вилка D, гніздо втулки A
stick	03_stick	1	Несучі вузли	Рукоять у зборі: труба, щоки п'яти, вилка H, накладки кінця, гнізда втулок B, E, R
bucket	04_bucket	1	Несучі вузли	Ківш у зборі: обичайка, боковини, ніж, 3 зуби, вуха осей E і Q, смуги зносу
rocker_plate	05_rocker_plate	2	Важільна система	Пластина коромисла з бобишкою осі J (осі R і J)
link_plate	06_link_plate	2	Важільна система	Тяга ковша з бобишками осей J і Q
cyl_boom_body	07_cyl_boom_body	1	Гідроциліндри	Гільза циліндра стріли Ø63 з каналом під шток
cyl_boom_rod	08_cyl_boom_rod	1	Гідроциліндри	Шток циліндра стріли Ø40
cyl_stick_body	09_cyl_stick_body	1	Гідроциліндри	Гільза циліндра рукояті Ø50 з каналом під шток
cyl_stick_rod	10_cyl_stick_rod	1	Гідроциліндри	Шток циліндра рукояті Ø25
cyl_bucket_body	11_cyl_bucket_body	1	Гідроциліндри	Гільза циліндра ковша Ø50 з каналом під шток
cyl_bucket_rod	12_cyl_bucket_rod	1	Гідроциліндри	Шток циліндра ковша Ø25
bush_A	13_bush_A	1	Втулки	Втулка осі A — стріла на колоні (в моделі Ø66/30×140)
bush_B	14_bush_B	1	Втулки	Втулка осі B — стріла–рукоять (Ø66/30×76)
bush_E	15_bush_E	1	Втулки	Втулка осі E — рукоять–ківш (Ø66/30×80)
bush_R	16_bush_R	1	Втулки	Втулка осі R — коромисло (Ø45/30×80)
pin_A	17_pin_A	1	Пальці	Палець осі A — стріла на колоні
pin_C	18_pin_C	1	Пальці	Палець осі C — база циліндра стріли на колоні (та сама позиція, що й палець D)
pin_B	19_pin_B	1	Пальці	Палець осі B — стріла–рукоять
pin_D	20_pin_D	1	Пальці	Палець осі D — шток циліндра стріли у вилці стріли
pin_E	21_pin_E	1	Пальці	Палець осі E — рукоять–ківш
pin_F	22_pin_F	1	Пальці	Палець осі F — база циліндра рукояті на стрілі
pin_G	23_pin_G	1	Пальці	Палець осі G — шток циліндра рукояті на п'яті рукояті
pin_H	24_pin_H	1	Пальці	Палець осі H — база циліндра ковша на рукояті
pin_J	25_pin_J	1	Пальці	Палець осі J — шток циліндра ковша, коромисло і тяги
pin_Q	26_pin_Q	1	Пальці	Палець осі Q — тяги і вуха ковша
pin_R	27_pin_R	1	Пальці	Палець осі R — коромисло на кінці рукояті
