"# V004-2026-09-21-2005: згенеровано ШІ, інженером не перевірено, машину не випробувано — на власний ризик; див. SAFETY.md"
тип,деталь,к-сть,розмір1,розмір2,розмір3,отвори,маса_кг,примітка
труба,boom_seg1,1,120x80x5,1009,,,14.71,"Стріла, сегмент 1: торець 90°, косий різ 17.5°; отвір Ø66 на 90 мм від торця"
труба,boom_seg2,1,120x80x5,599,,,8.73,"Стріла, сегмент 2: косий різ 17.5°; скіс торця: верхня полиця коротша на 160 мм"
труба,stick,1,100x60x5,1050,,,12.01,Рукоять: отвори Ø66 на 50 мм і Ø66 на 1000 мм від заднього торця; фаски кутів переднього торця 25×25
пластина,gusset,2,t8,536,299,—,9.67,Щока перелому стріли
пластина,D_clevis,2,t12,220,87,Ø30.0,1.94,Вилка D (шток циліндра стріли)
пластина,F_tower,2,t12,134,159,Ø25.0,1.6,Вежа F (база циліндра рукояті)
пластина,A_doubler,2,t10,130,130,Ø66.0,1.54,Накладка осі A
пластина,B_fork,2,t12,425,120,Ø30.5,8.65,Пластина вилки B
пластина,cheek,2,t8,672,238,"Ø66.0, Ø25.5",10.23,Щока п'яти рукояті
пластина,H_clevis,2,t12,110,92,Ø25.0,1.3,Вилка H (база циліндра ковша)
пластина,tip_plate,2,t10,322,160,"Ø66.0, Ø45.0",5.63,"Накладка кінця рукояті (осі E, R)"
пластина,rocker_plate,2,t10,358,74,"Ø30.5, Ø25.5",3.55,Пластина коромисла
пластина,link_plate,2,t10,392,65,"Ø25.5, Ø25.5",3.69,Тяга ковша
пластина,bk_side,2,t6,338,243,—,5.61,Боковина ковша
пластина,bk_ear,2,t12,222,116,"Ø30.5, Ø25.5",3.19,Вухо ковша (осі E і Q)
смуга,cover,1,t8,338,80,,1.7,Верхня накладка перелому (гнути посередині на 35° або з двох частин)
смуга,D_saddle,1,t10,260,80,,1.63,Сідло вилки D (між щоками перелому)
смуга,H_saddle,1,t10,120,60,,0.57,Сідло вилки H (між виступами щік)
смуга,heel_rib,1,t10,315,60,,1.48,Ребро п'яти між щоками
смуга,bk_shell,1,t5,559,288,,6.32,Обичайка ковша — розгортка; гнути: полиця 170 → R55 внутр. на 45° → спинка 19 → R115 внутр. на 95° → дно 130
смуга,bk_top,1,t8,170,300,,3.2,Накладка під вуха ковша (на обичайку і кромки боковин)
смуга,bk_lip_rib,1,t8,288,40,,0.72,Ребро губи ковша (на ребро під передньою кромкою верху)
зносостійке,bk_edge,1,t12,300,100,,2.83,"Ніж ковша — ЗНОСОСТІЙКА сталь (Hardox 400/450, 65Г, ніж грейдера), фаска зверху ≈ 34°"
зносостійке,bk_tooth,3,t32,160,40,,2.89,"Зуб ковша: покупний приварний під ніж 12 мм АБО з поковки/смуги 65Г, 30ХГСА"
зносостійке,bk_wear,2,t6,204,40,,0.77,Смуга зносу на п'яті ковша (гнути по R п'яти)
втулка,A_bushing,1,OD66,ID30,140,,2.98,"Втулка-бобишка осі A (труба 66×33, дві втулки ГАЗ-53 по краях)"
втулка,B_bushing,1,OD66,ID30,76,,1.62,Втулка-бобишка осі B
втулка,E_bushing,1,OD66,ID30,80,,1.7,Втулка-бобишка осі E
втулка,R_bushing,1,OD45,ID30,80,,0.55,Втулка осі коромисла R
втулка,G_boss,2,OD39,ID25.5,16.5,,0.18,Розпірна втулка осі G (приварити до щоки)
втулка,J_boss,2,OD41,ID25.5,27.5,,0.35,Бобишка осі J (приварити до пластини коромисла)
втулка,B_washer,2,OD76,ID30.5,2,,0.12,Упорна шайба осі B
втулка,link_boss,4,OD50,ID25.5,25,,1.14,Бобишка тяги на осях J і Q (приварити зовні до пластини тяги)
втулка,bk_boss_E,2,OD60,ID30.5,10,,0.33,Зовнішня бобишка вуха ковша на осі E (приварити)
втулка,bk_spacer_Q,1,OD45,ID25.5,82,,0.7,Розпірна втулка осі Q між вухами ковша (приварити до обох вух)
палець,pin_A,1,D30,182,,,1.01,Палець осі A (шкворінь ГАЗ-53 / 40Х)
палець,pin_B,1,D30,128,,,0.71,Палець осі B
палець,pin_E,1,D30,150,,,0.83,Палець осі E (ківш): зафіксований у вухах ковша
палець,pin_R,1,D30,102,,,0.57,Палець осі коромисла R
палець,pin_CD,2,D30,74,,,0.82,"Пальці циліндра стріли C, D (ШС30)"
палець,pin_FH,2,D25,71,,,0.55,"Пальці баз циліндрів F, H (ШС25)"
палець,pin_G,1,D25,96,,,0.37,Палець штока циліндра рукояті G
палець,pin_JQ,2,D25,198,,,1.53,Пальці J (шток циліндра ковша) і Q (тяга–ківш)
